Syntax version=4
Wed Jul 04 03:45:08 2018
Starting process (3312812 clocks per sec)

LogRawData=false
VarHeader=1
D:		ADC_Value	LoadDataAcquired	iServoLoadRate	iAccSpd	isotonicLoad	Kd_term	Ki_term	Kp_term	control	lServoPulseAddCnt	iCurTonicSpd	lTotalPositionCount	!LoadDataAcquired_10!	!isotonicLoad_100!
D:	time(ms)	(0x20001220,2)	(0x20001148,4)	(0x20001296,3)	(0x200011a8,5)	(0x2000126a,3)	(0x200010e8,7)	(0x200010e0,7)	(0x200010d8,7)	(0x200010f0,7)	(0x200011b4,5)	(0x200011f0,5)	(0x200011ac,5)	!LoadDataAcquired/100!	!isotonicLoad/100!
D:	827.98	1748	8790	18	404	9300	0.000000	-149.724500	-255.000000	-404.724500	0	-404	-124939	87.9	93.0
D:	833.34	1977	8789	18	405	9300	0.000000	-149.852250	-255.500000	-405.480000	0	-405	-124939	87.89	93.0
D:	838.85	1538	8789	18	405	9300	0.000000	-150.107750	-255.500000	-405.607750	0	-405	-124939	87.89	93.0
D:	844.22	1546	8789	18	405	9300	0.000000	-150.235500	-255.500000	-405.735500	0	-405	-124939	87.89	93.0
D:	849.61	1538	8789	18	405	9300	0.000000	-150.363000	-255.000000	-405.363000	0	-405	-124939	87.89	93.0
D:	855.09	1752	8789	18	405	9300	-0.000000	-150.490750	-255.500000	-405.990750	0	-405	-124939	87.89	93.0
D:	860.72	1976	8788	18	405	9300	0.000000	-150.618500	-255.500000	-406.118500	0	-405	-124939	87.88	93.0
D:	866.24	1552	8790	18	406	9300	0.000000	-150.746000	-255.000000	-405.746000	0	-406	-124939	87.9	93.0
D:	871.59	1544	8790	18	405	9300	0.000000	-150.873500	-255.000000	-405.873500	0	-405	-124939	87.9	93.0
D:	876.97	1752	8790	18	405	9300	0.000000	-151.001000	-255.000000	-406.001000	0	-406	-124939	87.9	93.0
D:	882.47	1545	8790	18	406	9300	0.000000	-151.128500	-255.000000	-406.128500	0	-406	-124939	87.9	93.0
D:	887.86	8928	8790	19	406	9300	0.000000	-151.256000	-255.000000	-406.256000	0	-406	-124939	87.9	93.0
D:	893.22	1720	8790	19	406	9300	0.000000	-151.383500	-255.000000	-406.383500	0	-406	-124939	87.9	93.0
D:	898.59	1727	8791	19	406	9300	0.000000	-151.638000	-254.500000	-406.138000	0	-406	-124939	87.91	93.0
D:	903.97	1755	8791	19	406	9300	0.000000	-151.765250	-254.500000	-406.265250	0	-406	-124939	87.91	93.0
D:	909.34	1790	8791	19	406	9300	0.000000	-151.892500	-254.500000	-406.392500	0	-406	-124939	87.91	93.0
D:	914.71	1780	8791	19	406	9300	0.000000	-152.019750	-254.500000	-406.519750	0	-406	-124939	87.91	93.0
D:	920.37	1714	8791	19	406	9300	-0.000000	-152.147250	-255.000000	-407.147250	0	-406	-124939	87.91	93.0
D:	925.72	1544	8790	19	407	9300	0.000000	-152.274750	-255.000000	-407.274750	0	-407	-124939	87.9	93.0
D:	931.09	8423	8789	19	407	9300	0.000000	-152.402250	-255.000000	-407.402250	0	-407	-124939	87.89	93.0
D:	936.46	1552	8789	19	407	9300	-0.000000	-152.530000	-255.500000	-408.030000	0	-407	-124939	87.89	93.0
D:	941.87	2008	8789	19	408	9300	0.000000	-152.657750	-255.500000	-408.157750	0	-408	-124939	87.89	93.0
D:	947.21	1748	8789	19	408	9300	0.000000	-152.785500	-255.500000	-408.285500	0	-408	-124939	87.89	93.0
D:	952.59	1771	8789	19	408	9300	0.000000	-152.913250	-255.500000	-408.413250	0	-408	-124939	87.89	93.0
D:	957.96	1982	8789	19	408	9300	0.000000	-153.041000	-255.500000	-408.541000	0	-408	-124939	87.89	93.0
D:	963.55	1768	8788	19	409	9300	0.000000	-153.169000	-256.000000	-408.796750	0	-409	-124939	87.88	93.0
D:	968.84	2008	8789	19	408	9300	0.000000	-153.424500	-255.500000	-408.924500	0	-408	-124939	87.89	93.0
D:	974.21	1744	8789	19	408	9300	0.000000	-153.552000	-255.000000	-408.552000	0	-408	-124939	87.89	93.0
D:	979.59	1992	8790	19	408	9300	0.000000	-153.679500	-255.000000	-408.679500	0	-408	-124939	87.9	93.0
D:	984.97	1759	8789	19	408	9300	0.000000	-153.807000	-255.000000	-408.807000	0	-408	-124939	87.89	93.0
D:	990.46	1754	8790	20	408	9300	0.000000	-153.934500	-255.000000	-408.934500	0	-408	-124939	87.9	93.0
D:	995.84	1709	8791	20	408	9300	0.000000	-154.061750	-254.500000	-408.561750	0	-408	-124939	87.91	93.0
D:	1001.21	1755	8791	20	408	9300	0.000000	-154.189000	-254.500000	-408.689000	0	-408	-124939	87.91	93.0
D:	1006.72	1738	8791	20	408	9300	-0.000000	-154.316500	-255.000000	-409.316500	0	-408	-124939	87.91	93.0
D:	1012.10	1759	8790	20	409	9300	0.000000	-154.444000	-255.000000	-409.444000	0	-409	-124939	87.9	93.0
D:	1017.46	1723	8791	20	409	9300	0.000000	-154.571250	-254.500000	-409.071250	0	-409	-124939	87.91	93.0
D:	1022.85	1979	8790	20	409	9300	-0.000000	-154.698750	-255.000000	-409.698750	0	-409	-124939	87.9	93.0
D:	1028.21	1744	8790	20	409	9300	0.000000	-154.826250	-255.000000	-409.826250	0	-409	-124939	87.9	93.0
D:	1033.74	1758	8789	20	410	9300	0.000000	-155.081750	-255.500000	-410.581750	0	-410	-124939	87.89	93.0
D:	1039.21	1717	8789	20	410	9300	-0.000000	-155.209750	-256.000000	-411.209750	0	-410	-124939	87.89	93.0
D:	1044.74	1759	8788	20	411	9300	0.000000	-155.337500	-255.500000	-410.837500	0	-411	-124939	87.88	93.0
D:	1050.22	1672	8789	20	410	9300	0.000000	-155.465250	-255.500000	-410.965250	0	-410	-124939	87.89	93.0
